t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
15.704,637.00,679.70,1284.06,54.8,REFRACTORY,open,
15.751,811.15,691.03,1285.92,52.3,REFRACTORY,open,
15.799,634.30,698.80,1295.67,49.1,REFRACTORY,open,
15.848,818.29,696.81,1267.83,46.9,REFRACTORY,open,
15.895,544.72,707.57,1230.98,40.2,REFRACTORY,open,
15.988,575.82,705.05,1235.33,27.5,REFRACTORY,open,
16.032,677.53,738.72,1239.98,23.2,REFRACTORY,open,
16.078,585.01,709.64,1319.93,17.6,REFRACTORY,open,
16.127,554.17,731.72,1476.51,14.5,REFRACTORY,open,
16.177,588.91,746.92,1502.19,12.5,REFRACTORY,open,
16.224,523.86,769.55,1557.88,7.4,REFRACTORY,open,
16.270,613.23,1563.71,2770.27,5.3,REFRACTORY,open,
16.316,482.59,1513.98,2743.90,3.5,REFRACTORY,open,
16.362,619.96,1334.11,2618.74,2.9,REFRACTORY,open,
16.408,466.63,1318.47,2740.30,3.2,REFRACTORY,open,
16.455,580.44,1283.38,2699.79,6.7,REFRACTORY,open,
16.505,439.07,1229.54,2602.20,12.8,REFRACTORY,open,
16.553,545.45,1159.58,2498.70,15.0,IDLE,open,
16.597,451.71,1102.40,2425.81,16.3,IDLE,open,
16.643,496.92,1058.25,2361.76,16.8,IDLE,open,
16.688,503.28,1021.50,2289.44,18.9,IDLE,open,
16.734,427.64,991.63,2231.79,23.0,IDLE,open,
16.781,524.27,976.85,2211.18,23.0,IDLE,open,
16.830,410.85,950.11,2174.17,26.5,IDLE,open,
16.879,531.46,951.00,2178.99,26.6,IDLE,open,
16.923,399.41,950.98,2173.46,27.6,IDLE,open,
16.970,529.44,949.33,2185.74,27.8,IDLE,open,
17.015,391.21,965.61,2210.97,30.0,IDLE,open,
17.061,508.94,977.94,2271.17,27.8,IDLE,open,
17.108,418.02,1083.83,2371.91,28.2,IDLE,open,
17.157,502.44,1170.50,2460.75,25.7,IDLE,open,
17.206,452.20,1241.21,2534.37,25.0,IDLE,open,
17.251,446.75,1248.72,2546.31,20.8,IDLE,open,
17.296,518.77,1337.68,2627.31,19.9,IDLE,open,
17.342,420.30,1427.73,2721.36,20.0,IDLE,open,
17.389,538.92,1455.63,2754.92,20.6,IDLE,open,
17.436,415.07,1465.88,2805.69,19.6,IDLE,open,
17.484,546.60,1434.95,2878.68,19.8,IDLE,open,
17.534,411.87,1398.11,2888.59,20.2,IDLE,open,
17.580,547.52,1357.65,2811.13,24.5,IDLE,open,
17.626,416.34,1314.86,2763.24,23.7,IDLE,open,
17.672,528.54,1279.69,2717.22,21.6,IDLE,open,
17.720,450.66,1247.34,2678.57,20.3,IDLE,open,
17.768,502.57,1224.57,2646.39,19.0,IDLE,open,
17.816,492.34,1195.28,2613.02,18.9,IDLE,open,
17.864,480.85,1169.95,2586.55,14.6,IDLE,open,
17.911,507.91,1152.26,2570.40,10.3,IDLE,open,
17.956,412.32,1138.64,2564.91,9.3,IDLE,open,
18.002,535.49,1144.72,2566.78,9.4,IDLE,open,
18.048,399.90,1146.34,2565.28,8.0,IDLE,open,
