t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
11.484,2443.82,1175.20,1199.95,67.6,REFRACTORY,open,
11.537,2195.48,1502.80,1323.17,69.3,REFRACTORY,open,
11.577,2325.79,1375.09,1060.21,66.3,REFRACTORY,open,
11.620,2472.46,1129.87,1317.40,65.5,REFRACTORY,open,
11.679,2394.07,1196.88,1328.86,65.1,REFRACTORY,open,
11.718,2531.78,1689.20,1241.55,66.4,REFRACTORY,open,
11.773,2334.28,2027.09,1334.32,72.3,REFRACTORY,open,
11.813,2623.28,2275.44,1090.34,69.3,REFRACTORY,open,
11.866,2314.45,2067.75,1180.16,66.6,REFRACTORY,open,
11.905,2708.86,1912.43,967.86,62.0,REFRACTORY,open,
11.951,2311.70,2098.49,1118.03,59.2,REFRACTORY,open,
12.007,2702.12,2143.96,1185.54,59.8,REFRACTORY,open,
12.046,2358.52,2058.43,1072.72,57.3,REFRACTORY,open,
12.100,2594.44,1972.74,1151.59,45.4,REFRACTORY,open,
12.139,2420.83,1960.36,1009.22,44.4,REFRACTORY,open,
12.195,2451.74,1928.10,1026.46,37.7,REFRACTORY,open,
12.235,2308.77,1926.99,870.96,29.2,REFRACTORY,open,
12.277,1976.57,1915.57,1052.34,24.2,REFRACTORY,open,
12.334,2230.29,1960.25,1171.32,24.6,REFRACTORY,open,
12.373,1821.26,1998.01,1103.39,15.2,REFRACTORY,open,
12.428,2294.46,2049.67,1287.69,6.4,REFRACTORY,open,
12.469,1804.70,2089.18,1022.62,5.9,REFRACTORY,open,
12.522,2305.23,2158.11,1263.93,3.5,REFRACTORY,open,
12.561,1922.87,2223.62,1086.06,5.7,REFRACTORY,open,
12.603,2147.25,2236.91,1250.98,10.8,REFRACTORY,open,
12.662,1875.96,2239.43,1350.03,17.2,IDLE,open,
12.702,2043.02,2253.62,1287.63,19.3,IDLE,open,
12.756,2040.49,2260.83,1236.54,19.4,IDLE,open,
12.796,1982.98,2275.21,1225.53,19.5,IDLE,open,
12.850,2191.02,2295.44,1203.09,19.0,IDLE,open,
12.890,1900.34,2281.67,1210.65,19.3,IDLE,open,
12.943,2269.72,2208.49,1252.74,23.7,IDLE,open,
12.983,1849.65,2166.39,1321.15,28.0,IDLE,open,
13.042,2266.62,2166.82,1431.05,31.4,IDLE,open,
13.083,1810.28,2144.97,1486.02,34.6,IDLE,open,
13.124,2210.46,2153.81,1509.22,37.9,IDLE,open,
13.180,1798.31,2124.39,1517.82,44.3,PULSE,open,
13.220,2191.78,2117.78,1519.56,48.5,PULSE,open,
13.264,2076.71,2096.49,1529.33,54.9,PULSE,open,
13.306,1999.68,2068.29,1381.48,61.8,PULSE,open,
13.370,2056.15,2080.32,1272.38,69.3,PULSE,open,
13.410,2114.79,2071.15,1223.81,70.2,PULSE,open,
13.449,2416.78,2061.61,1165.10,72.7,PULSE,open,
13.509,2336.53,2077.58,1126.38,77.6,PULSE,open,
13.548,2669.26,2075.18,1066.23,79.9,PULSE,open,
13.592,2235.78,2086.52,1073.26,82.6,PULSE,open,
13.650,2123.36,2094.07,1026.93,85.9,PULSE,open,
13.690,1979.94,2114.41,1017.27,82.8,PULSE,open,
13.729,2001.88,2153.53,1000.99,82.1,PULSE,open,
13.792,1991.71,2163.58,979.84,82.3,PULSE,open,
13.833,1983.44,2177.51,1003.67,81.5,PULSE,open,
13.872,1882.52,2203.06,969.04,79.3,PULSE,open,
13.929,1760.38,2203.13,979.73,73.3,PULSE,open,
13.969,1635.46,2183.78,958.96,69.2,PULSE,open,
14.010,1540.94,2169.19,980.91,65.5,PULSE,open,
14.068,1383.33,2231.91,991.78,57.6,PULSE,open,
14.108,1312.03,2233.16,1019.65,53.0,PULSE,open,
14.160,1226.66,2279.85,987.62,43.7,PULSE,open,
14.200,1171.93,2262.72,986.67,42.1,PULSE,open,
14.306,1049.37,2213.25,925.71,40.4,PULSE,open,
14.346,1010.06,2193.78,939.21,38.6,PULSE,open,
14.387,949.47,2185.60,956.43,34.8,PULSE,open,
14.442,929.54,2194.77,989.14,29.9,PULSE,open,
14.482,875.30,2206.23,990.95,28.0,PULSE,open,
14.533,881.71,2187.85,997.70,21.4,REFRACTORY,open,
14.574,812.59,2181.72,1026.31,19.7,REFRACTORY,open,
14.626,779.61,2150.86,1017.73,11.5,REFRACTORY,open,
14.672,710.07,2156.67,1053.20,7.8,REFRACTORY,open,
14.721,741.46,2152.08,1050.48,5.5,REFRACTORY,open,
14.769,656.99,2148.54,1063.51,6.1,REFRACTORY,open,
14.825,687.73,2146.99,1098.70,6.5,REFRACTORY,open,
14.864,615.66,2142.21,1091.33,7.9,REFRACTORY,open,
14.904,642.65,2143.18,1121.29,8.5,REFRACTORY,open,
14.953,613.75,2136.95,1123.30,11.1,REFRACTORY,open,
14.996,602.37,2117.39,1143.42,9.9,REFRACTORY,open,
15.051,632.71,2114.22,1139.55,15.0,REFRACTORY,open,
15.092,650.18,2116.83,1137.56,15.9,REFRACTORY,open,
15.142,687.60,2133.41,1171.74,18.9,REFRACTORY,open,
15.184,661.71,2148.48,1148.48,20.0,REFRACTORY,open,
15.236,672.39,2161.65,1183.27,22.3,REFRACTORY,open,
15.283,631.46,2174.19,1193.04,24.4,REFRACTORY,open,
15.329,630.08,2188.24,1190.35,25.8,REFRACTORY,open,
15.372,614.72,2222.82,1226.21,25.9,REFRACTORY,open,
15.424,585.16,2250.46,1270.77,26.1,REFRACTORY,open,
15.479,567.81,2239.05,1250.08,28.9,REFRACTORY,open,
15.520,547.53,2201.97,1227.01,32.7,REFRACTORY,open,
15.574,529.95,2220.77,1231.05,31.8,REFRACTORY,open,
15.616,504.12,2190.87,1181.69,34.6,REFRACTORY,open,
15.671,988.93,2658.14,1679.11,389.0,REFRACTORY,open,
15.709,847.03,2965.90,1402.89,498.6,REFRACTORY,open,
15.749,991.22,3121.76,1912.10,321.1,REFRACTORY,open,
15.798,1172.39,3295.38,1755.32,293.7,REFRACTORY,open,
15.839,920.41,3290.01,1976.30,185.3,REFRACTORY,open,
15.889,1234.16,2178.97,1617.06,51.2,REFRACTORY,open,
15.935,971.55,2231.20,1739.00,114.6,REFRACTORY,open,
15.983,1391.97,2381.89,1849.31,224.9,REFRACTORY,open,
16.030,1224.47,2568.13,1934.56,301.9,REFRACTORY,open,
16.079,1564.04,2717.14,2225.47,281.2,REFRACTORY,open,
16.123,1395.61,2840.43,2041.44,233.7,REFRACTORY,open,
16.171,1597.95,2870.97,2272.28,173.7,REFRACTORY,open,
16.216,1555.75,1967.37,2120.46,124.0,REFRACTORY,open,
16.264,1475.53,1396.18,1827.94,76.3,REFRACTORY,open,
16.310,1577.26,1269.12,1478.35,50.1,REFRACTORY,open,
16.359,1392.45,1292.62,1239.13,36.1,REFRACTORY,open,
16.406,1665.44,1296.23,1234.47,19.7,REFRACTORY,open,
16.451,1334.77,1227.15,1226.57,6.8,REFRACTORY,open,
16.496,1679.72,979.99,1171.98,12.6,REFRACTORY,open,
16.541,1335.28,1177.27,1112.05,23.9,REFRACTORY,open,
16.605,1678.28,992.41,941.73,34.7,REFRACTORY,open,
16.647,1356.86,983.67,1051.45,43.8,REFRACTORY,open,
16.688,1612.38,957.84,906.17,43.2,REFRACTORY,open,
16.744,1398.49,962.73,1002.18,47.3,REFRACTORY,open,
