t_s,dtw_relaxed,dtw_close,dtw_open
33.951,2426.66,3220.01,2012.74
34.002,2419.00,2998.46,1767.55
34.044,2374.21,2876.25,1632.52
34.091,2381.32,2748.67,1492.42
34.138,2359.26,2627.94,1352.56
34.185,2369.89,2533.93,1244.60
34.232,2362.96,2441.81,1124.74
34.276,2390.78,2361.64,1031.18
34.317,2386.64,2247.38,947.39
34.369,2401.71,2123.13,882.81
34.418,2396.98,2037.47,790.03
34.465,2331.03,2008.36,729.78
34.514,2378.11,2152.28,878.56
34.560,2359.21,2308.28,1061.91
34.605,2397.87,2395.20,1164.44
34.655,2436.74,2525.37,1318.02
34.698,2442.61,2679.24,1507.25
34.744,2532.02,2842.48,1687.39
34.790,2537.92,3006.35,1872.61
34.839,2630.33,3209.84,2119.83
34.886,2650.74,3450.89,2381.91
34.931,2756.89,3585.03,2537.85
34.982,2766.02,3759.45,2669.31
35.024,2862.65,3880.51,2770.90
35.072,2886.09,4036.97,2930.72
35.119,2947.87,4216.83,3027.40
35.169,2999.63,4397.48,3058.27
35.215,3034.44,4478.55,3061.89
35.259,3149.95,4290.02,3020.40
35.310,3156.94,4051.09,2880.62
35.352,3203.64,3771.49,2544.69
35.399,3186.02,3502.40,2189.24
35.469,3178.35,3121.49,1823.41
35.491,3151.72,3026.66,1736.86
35.538,3104.74,2846.52,1569.51
35.584,3075.07,2760.17,1488.40
35.634,3062.26,2677.01,1418.84
35.680,2985.89,2619.99,1373.18
35.725,2995.61,2574.33,1333.09
35.770,2904.13,2537.08,1305.38
35.819,2911.95,2506.55,1285.64
35.865,2846.99,2489.97,1275.15
35.911,2832.82,2473.63,1270.03
35.961,2779.70,2467.54,1274.78
36.007,2759.63,2472.73,1266.45
36.050,2740.69,2477.27,1251.87
36.095,2708.63,2483.90,1242.90
36.144,2745.40,2510.18,1233.38
36.188,2671.99,2526.63,1215.77
36.251,2727.44,2509.32,1192.29
36.297,2689.37,2529.40,1177.32
36.343,2775.41,2548.00,1178.54
36.394,2727.49,2555.12,1184.78
36.438,2800.43,2558.72,1247.47
36.469,2814.46,2595.65,1275.39
36.531,2881.95,2678.29,1320.50
36.578,2866.90,2960.17,1682.34
36.611,2897.84,3122.53,1884.97
36.671,2891.82,3439.03,2233.78
36.723,2924.61,3695.94,2156.07
36.765,2912.91,3821.69,2066.69
36.809,2900.28,3728.23,1982.36
36.856,2920.81,3634.60,1898.89
36.904,2882.70,3510.46,1777.01
36.949,2894.91,3370.68,1615.87
36.995,2844.85,3234.30,1470.52
37.045,2841.95,3036.39,1278.22
37.091,2797.77,2919.79,1156.24
37.135,2783.34,2785.90,1027.28
37.182,2735.69,2631.74,883.51
37.232,2706.31,2502.03,784.01
37.276,2665.43,2393.35,689.07
37.322,2589.71,2268.56,574.09
37.372,2520.55,2194.23,514.83
37.418,2447.87,2170.70,504.07
37.462,2409.07,2126.88,501.84
37.509,2359.21,2117.46,499.88
37.557,2300.67,2155.22,548.90
37.604,2261.71,2225.44,595.81
37.650,2195.73,2496.15,952.45
37.699,2173.07,2671.20,1196.38
37.745,2113.93,2815.83,1369.19
37.788,2097.69,2882.72,1454.30
37.836,2049.47,2977.28,1554.72
37.884,2022.45,3017.11,1543.17
37.929,1994.77,3085.66,1529.75
37.974,1951.49,3141.88,1513.10
38.026,1947.98,3146.48,1496.50
38.071,1887.26,3147.72,1474.85
38.115,1907.51,3145.40,1421.16
38.163,1836.84,3153.05,1368.49
38.209,1877.20,3152.50,1312.94
38.256,1810.43,3155.02,1260.25
38.301,1842.22,3154.58,1211.72
38.351,1798.41,3167.08,1159.63
38.397,1823.21,3180.45,1108.83
38.442,1824.36,3181.33,1071.86
38.489,1794.92,3179.91,1010.14
38.537,1845.79,3177.74,967.28
38.583,1853.26,3182.49,922.28
38.629,1852.13,3186.24,878.95
38.679,1847.47,3191.65,837.16
38.725,1833.05,3162.81,801.51
38.772,1809.22,3120.53,768.25
38.818,1783.05,3081.09,739.09
38.867,1748.16,3042.38,712.34
38.912,1709.17,3009.42,689.36
38.959,1654.08,2979.56,671.45
39.008,1627.01,2948.82,653.38
39.054,1557.76,2925.45,637.75
39.098,1528.30,2897.07,621.29
39.145,1447.68,2882.06,612.97
39.193,1419.17,2862.54,606.93
39.238,1346.67,2842.93,598.75
39.284,1333.41,2832.06,628.97
